id,observationId,present,surveyName,species,eventDate,t,latitude,longitude,year,coordinateUncertaintyValue,altitude,easting,northing,asp_n,asp_e,temp.avg,temp.avg.pred.err.sd,temp.avg.dwnscl.err.sd,temp.avg.anom,water.avg,water.avg.pred.err.sd,water.avg.dwnscl.err.sd,water.avg.anom,spatial_fold,temporal_fold,training
1647,549607,0,243369,Acrothamnus hookeri,1982-02-01,5,-37.22889000000001,147.92778,1982,15,1120,582303.0865248835,5879332.458548073,0.13,0.18,10.339452970200739,0.6155676467471771,0.26856313011304,0.06792261980581316,0.3434391965468724,0.009951813695568114,0.010989069599113882,-0.017355665564536993,1,4,TRUE
1648,549278,0,243357,Acrothamnus hookeri,1982-02-01,5,-37.15666999999998,147.93194,1982,15,1280,582750.913531909,5887340.983331741,0.39,0.18,9.586815632253547,0.6155676467471771,0.24755666509922325,0.07306748542225705,0.3480392281451951,0.009951813695568114,0.007928516915287821,-0.01672421239208488,5,4,FALSE
1649,549336,0,243359,Acrothamnus hookeri,1982-02-01,5,-37.16221999999999,147.93472,1982,15,1280,582991.6995653339,5886722.835840819,0.13,0.25,9.575987586422286,0.6155676467471771,0.23549181987077497,0.06745672917020329,0.3484619338659272,0.009951813695568114,0.005862801167064686,-0.016480317150337043,5,4,FALSE
1650,549284,0,243358,Acrothamnus hookeri,1982-02-01,5,-37.15944,147.93472,1982,15,1280,582994.739105848,5887031.249862376,0.13,0.25,9.575987586422286,0.6155676467471771,0.23549181987077497,0.06745672917020329,0.3484619338659272,0.009951813695568114,0.005862801167064686,-0.016480317150337043,5,4,FALSE
1651,549260,0,243356,Acrothamnus hookeri,1982-02-01,5,-37.15527999999999,147.93472,1982,15,1280,582999.2871169887,5887492.7612280715,0.25,-0.4,9.570758299896681,0.6155676467471771,0.2458154619116589,0.06945878180908949,0.3492412543653146,0.009951813695568114,0.007810867246519133,-0.01648859941549058,5,4,FALSE
1652,549589,0,243368,Acrothamnus hookeri,1982-02-01,5,-37.22888999999999,147.93611,1982,15,1160,583042.0560484416,5879325.185965716,0.15,-0.6,10.273429019209345,0.6155676467471771,0.2658516714658703,0.06917809748989612,0.3462568427017633,0.009951813695568114,0.010749331051532645,-0.016761661061774125,1,4,TRUE
1653,549463,0,243364,Acrothamnus hookeri,1982-02-01,5,-37.14278,147.94861,1982,15,1200,584246.5588196274,5888867.269278112,0.58,0.1,9.644988051704729,0.6155676467471771,0.25582101146742087,0.06243128016376431,0.3481193432665389,0.009951813695568114,0.009277936812980036,-0.016688143159600266,5,4,FALSE
1654,549350,0,243360,Acrothamnus hookeri,1982-02-01,5,-37.13583,147.94861,1982,15,1200,584254.2667692157,5889638.302439981,0.19,0.1,9.644955212137063,0.6155676467471771,0.26346390526225283,0.06253024115073913,0.3475522140877834,0.009951813695568114,0.010272501673820865,-0.01690046392057254,5,4,FALSE
1655,549520,0,243365,Acrothamnus hookeri,1982-02-01,5,-37.13444,147.95139,1982,15,1200,584502.7347995325,5889790.037122931,-0.08,-0.17,9.620796070928122,0.6155676467471771,0.2653948217764947,0.05902774092083973,0.34774393593703495,0.009951813695568114,0.010508080713634434,-0.01672572399611061,2,4,TRUE
1656,549433,0,243362,Acrothamnus hookeri,1982-02-01,5,-37.13860999999999,147.95417,1982,15,1200,584745.0098601597,5889324.938154415,-0.08,-0.17,9.620796070928122,0.6155676467471771,0.2653948217764947,0.05902774092083973,0.34774393593703495,0.009951813695568114,0.010508080713634434,-0.01672572399611061,2,4,TRUE
1657,549914,0,243378,Acrothamnus hookeri,1982-02-01,5,-37.17194,147.95556,1982,15,1180,584831.2168443461,5885626.05312491,-0.56,0.13,9.858162457009996,0.6155676467471771,0.2455406409132246,0.05266670558768283,0.3472891162972952,0.009951813695568114,0.007795785052948549,-0.016492941592266663,2,4,TRUE
1658,549416,0,243361,Acrothamnus hookeri,1982-02-01,5,-37.13166999999999,147.95694,1982,15,1200,584998.798540268,5890092.384438308,0.16,-0.43,9.620796070928122,0.6155676467471771,0.2653948217764947,0.05902774092083973,0.34774393593703495,0.009951813695568114,0.010508080713634434,-0.01672572399611061,3,4,TRUE
1659,549874,0,243376,Acrothamnus hookeri,1982-02-01,5,-37.17611,147.95833,1982,15,1180,585072.4578945214,5885160.948349728,0.22,0.44,9.92179155211528,0.6155676467471771,0.25172657360064976,0.05259301005924044,0.3466610183156487,0.009951813695568114,0.00870540985222292,-0.016551501536066993,2,4,TRUE
1660,549445,0,243363,Acrothamnus hookeri,1982-02-01,5,-37.13861,147.95833,1982,15,1200,585114.4914175962,5889321.214785956,-0.08,-0.17,9.620796070928122,0.6155676467471771,0.2653948217764947,0.05902774092083973,0.34774393593703495,0.009951813695568114,0.010508080713634434,-0.01672572399611061,2,4,TRUE
1661,549807,0,243375,Acrothamnus hookeri,1982-02-01,5,-37.18028,147.96111,1982,15,1180,585314.5591969982,5884695.826867669,-0.08,0.07,9.916061876822141,0.6155676467471771,0.2586225238795834,0.04950310527425472,0.34700754373941733,0.009951813695568114,0.009680464576160253,-0.01639294216706272,2,4,TRUE
1662,549888,0,243377,Acrothamnus hookeri,1982-02-01,5,-37.17333,147.96111,1982,15,1180,585322.3755377132,5885466.865549832,-0.13,0.36,9.916061876822141,0.6155676467471771,0.2586225238795834,0.04950310527425472,0.34700754373941733,0.009951813695568114,0.009680464576160253,-0.01639294216706272,2,4,TRUE
1663,549748,0,243373,Acrothamnus hookeri,1982-02-01,5,-37.14417,147.97917,1982,15,1200,586959.088396332,5888685.489996027,-0.02,0.3,9.640874315344888,0.6155676467471771,0.269979149648457,0.04817343449235523,0.3494197957055724,0.009951813695568114,0.011169509492275733,-0.01605071945358877,2,4,TRUE
